ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Value
34,phenazine-2-carboxylic acid,O=C(O)c1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,LFDLISNVRKBBAW-UHFFFAOYSA-N,-1.53
35,1-(trifluoromethyl)phenazine,FC(F)(F)c1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,WUAPBPKNISSQRN-UHFFFAOYSA-N,-1.53
36,2-(trifluoromethyl)phenazine,FC(F)(F)c1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,XSCVJNIZCHWXSU-UHFFFAOYSA-N,-1.55
37,phenazine-1-carbonitrile,N#Cc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,SHAXTIUXNUJGPE-UHFFFAOYSA-N,-1.42
38,phenazine-2-carbonitrile,N#Cc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,IWDIQIINIKFOEB-UHFFFAOYSA-N,-1.43
39,1-nitrophenazine,O=[N+]([O-])c1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,BEDXVQSNPCSGHA-UHFFFAOYSA-N,-1.35
40,2-nitrophenazine,O=[N+]([O-])c1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,XMPQBEJBTADGKE-UHFFFAOYSA-N,-1.29
41,"phenazine-1,2-dicarbonitrile",N#Cc1ccc2nc3ccccc3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,XWGWKSBYRVWZIS-UHFFFAOYSA-N,-1.04
42,,N#Cc1cc(C#N)c2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,VXVRQCXQHFJTBE-UHFFFAOYSA-N,-1.1
43,,N#Cc1ccc(C#N)c2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,MJQZBQBJTKTNCP-UHFFFAOYSA-N,-1.06
44,,N#Cc1cccc2nc3c(C#N)cccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,DKLRJXIHVDLSDT-UHFFFAOYSA-N,-1.14
45,,N#Cc1ccc2nc3c(C#N)cccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,XMCVTJYZUMQCQO-UHFFFAOYSA-N,-1.15
46,"phenazine-1,8-dicarbonitrile",N#Cc1ccc2nc3cccc(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,DWAQHCUJIGABRS-UHFFFAOYSA-N,-1.14
47,"phenazine-1,9-dicarbonitrile",N#Cc1cccc2nc3cccc(C#N)c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,SHAXTIUXNUJGPE-UHFFFAOYSA-N,-1.15
48,"phenazine-2,3-dicarbonitrile",N#Cc1cc2nc3ccccc3nc2cc1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,KATISCWHSJVADT-UHFFFAOYSA-N,-1.18
49,"phenazine-2,7-dicarbonitrile",N#Cc1ccc2nc3cc(C#N)ccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,VYDYJEHLDKHUCY-UHFFFAOYSA-N,-1.04
50,,N#Cc1ccc2nc3ccc(C#N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,XMCVTJYZUMQCQO-UHFFFAOYSA-N,-1.15
51,,N#Cc1cc2nc3ccccc3nc2c(C#N)c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,KVPZKTNBWFMRPP-UHFFFAOYSA-N,-0.79
52,,N#Cc1cc(C#N)c2nc3ccccc3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,ALZMQFKHMVGRAQ-UHFFFAOYSA-N,-0.68
53,,N#Cc1ccc2nc3c(C#N)cccc3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,SPKYLAVSJPZTKD-UHFFFAOYSA-N,-0.81
54,,N#Cc1ccc2nc3c(C#N)c(C#N)ccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,VPGKFKVQGBLFIT-UHFFFAOYSA-N,-0.8
55,,N#Cc1ccc2nc3ccc(C#N)c(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,LHMRFEMQSHQGHZ-UHFFFAOYSA-N,-0.8
56,,N#Cc1ccc2nc3cccc(C#N)c3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,XWGWKSBYRVWZIS-UHFFFAOYSA-N,-0.81
57,,N#Cc1cc(C#N)c2nc3cccc(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,MHCJHKXULUWNFT-UHFFFAOYSA-N,-0.85
58,,N#Cc1ccc2nc3c(C#N)cc(C#N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,GLALSDPDEKWKNY-UHFFFAOYSA-N,-0.86
59,,N#Cc1ccc2nc3cc(C#N)cc(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,UICFTHXKSSQXBV-UHFFFAOYSA-N,-0.83
60,,N#Cc1cc(C#N)c2nc3c(C#N)cccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,VXVRQCXQHFJTBE-UHFFFAOYSA-N,-0.86
61,,N#Cc1cccc2nc3c(C#N)ccc(C#N)c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,YZOKGBDTDFXFNS-UHFFFAOYSA-N,-0.82
62,,N#Cc1ccc2nc3c(C#N)ccc(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,YZOKGBDTDFXFNS-UHFFFAOYSA-N,-0.81
63,,N#Cc1cc2nc3cccc(C#N)c3nc2cc1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,XUYSEUGFNDEVPZ-UHFFFAOYSA-N,-0.89
64,,N#Cc1ccc2nc3cc(C#N)c(C#N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,XUYSEUGFNDEVPZ-UHFFFAOYSA-N,-0.89
65,"phenazine-1,2,3,4-tetracarbonitrile",N#Cc1c(C#N)c(C#N)c2nc3ccccc3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,DVJWHUBHRWIRLX-UHFFFAOYSA-N,-0.37
66,,N#Cc1cc2nc3c(C#N)cccc3nc2c(C#N)c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,AIYHOIWWDOMHLC-UHFFFAOYSA-N,-0.56
67,,N#Cc1ccc2nc3c(C#N)c(C#N)c(C#N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,NKYDFWKJWWBVSB-UHFFFAOYSA-N,-0.55
68,,N#Cc1ccc2nc3cc(C#N)c(C#N)c(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,GFBPIOLBHYZKOZ-UHFFFAOYSA-N,-0.54
69,,N#Cc1cc2nc3cccc(C#N)c3nc2c(C#N)c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,KVPZKTNBWFMRPP-UHFFFAOYSA-N,-0.57
70,,N#Cc1cc(C#N)c2nc3c(C#N)cccc3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,GQPUMEHGZITKFY-UHFFFAOYSA-N,-0.48
71,,N#Cc1ccc2nc3c(C#N)c(C#N)cc(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,WSPJSZQBNQZPLM-UHFFFAOYSA-N,-0.45
