ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Value
142,"phenazine-1,9-diol",Oc1cccc2nc3cccc(O)c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,SVRNCBGWUMMBQB-UHFFFAOYSA-N,-1.74
143,"phenazine-2,3-diol",Oc1cc2nc3ccccc3nc2cc1O,c1ccc2nc3ccccc3nc2c1,Oxidized,UVPLITJCYDVORW-UHFFFAOYSA-N,-1.93
144,"phenazine-2,7-diol",Oc1ccc2nc3cc(O)ccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,GDZZZIJWRBVEKB-UHFFFAOYSA-N,-1.89
145,"phenazine-2,8-diol",Oc1ccc2nc3ccc(O)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,YYGYKQIAGNVTNM-UHFFFAOYSA-N,-1.88
146,,Oc1ccc2nc3c(O)c(O)ccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,BXUJYWOGIMZMCJ-UHFFFAOYSA-N,-1.8
147,,Oc1ccc2nc3ccc(O)c(O)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,HISBHXPKYLJSAL-UHFFFAOYSA-N,-1.82
148,,Oc1ccc2nc3c(O)cc(O)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,PKZQOZGYCWBCDV-UHFFFAOYSA-N,-1.84
149,,Oc1ccc2nc3cc(O)cc(O)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,OIMGDJJLMHNJBC-UHFFFAOYSA-N,-1.82
150,,Oc1cc2nc3cccc(O)c3nc2cc1O,c1ccc2nc3ccccc3nc2c1,Oxidized,IDKBBGJMQPTZSX-UHFFFAOYSA-N,-1.85
151,"phenazine-2,3,7-triol",Oc1ccc2nc3cc(O)c(O)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,IDKBBGJMQPTZSX-UHFFFAOYSA-N,-1.93
152,"phenazine-1,2,3,4-tetrol",Oc1c(O)c(O)c2nc3ccccc3nc2c1O,c1ccc2nc3ccccc3nc2c1,Oxidized,RPDHSFKYZMTHHU-UHFFFAOYSA-N,-1.78
153,,Oc1cc2nc3c(O)cccc3nc2c(O)c1O,c1ccc2nc3ccccc3nc2c1,Oxidized,PRLUQENROXYVMS-UHFFFAOYSA-N,-1.76
154,,Oc1ccc2nc3c(O)c(O)c(O)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,NBFVYCSIZRIFIA-UHFFFAOYSA-N,-1.87
155,,Oc1ccc2nc3cc(O)c(O)c(O)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,HIGGSPGGXZGDMB-UHFFFAOYSA-N,-1.87
156,,Oc1cc2nc3cccc(O)c3nc2c(O)c1O,c1ccc2nc3ccccc3nc2c1,Oxidized,VNGCXYJYHHHWLN-UHFFFAOYSA-N,-1.76
157,,Oc1ccc2nc3c(O)cc(O)c(O)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,HZZFGPGJGCLAKH-UHFFFAOYSA-N,-1.76
158,,Oc1cc2nc3ccc(O)c(O)c3nc2cc1O,c1ccc2nc3ccccc3nc2c1,Oxidized,GSBRZJKWDFJGGU-UHFFFAOYSA-N,-1.73
159,,Oc1cc(O)c2nc3ccc(O)c(O)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,PGTVELGAOVAWOD-UHFFFAOYSA-N,-1.77
160,,Oc1cc(O)c2nc3cc(O)cc(O)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,CSNRVIISZZGOKP-UHFFFAOYSA-N,-1.76
161,,Oc1cc(O)c2nc3c(O)cc(O)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,PKZQOZGYCWBCDV-UHFFFAOYSA-N,-1.78
162,,Oc1cc2nc3c(O)ccc(O)c3nc2cc1O,c1ccc2nc3ccccc3nc2c1,Oxidized,MRMJMVKNUMAUSE-UHFFFAOYSA-N,-1.55
163,"phenazine-2,3,7,8-tetrol",Oc1cc2nc3cc(O)c(O)cc3nc2cc1O,c1ccc2nc3ccccc3nc2c1,Oxidized,LLQGDYMXUAMFHO-UHFFFAOYSA-N,-1.99
164,"phenazine-1,2,3,6,7,8-hexol",Oc1cc2nc3c(O)c(O)c(O)cc3nc2c(O)c1O,c1ccc2nc3ccccc3nc2c1,Oxidized,JAPNJRMUNGFOMI-UHFFFAOYSA-N,-1.9
165,,Oc1c(O)c(O)c2nc3c(O)c(O)c(O)c(O)c3nc2c1O,c1ccc2nc3ccccc3nc2c1,Oxidized,PUEJYDPKLFNIHZ-UHFFFAOYSA-N,-1.8
166,"1,2-dinitrophenazine",O=[N+]([O-])c1ccc2nc3ccccc3nc2c1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,GJLHWFBNDSVFFQ-UHFFFAOYSA-N,-0.91
167,"1,3-dinitrophenazine",O=[N+]([O-])c1cc([N+](=O)[O-])c2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,YHMYIFUNFCEUIM-UHFFFAOYSA-N,-0.96
168,,O=[N+]([O-])c1ccc([N+](=O)[O-])c2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,VYQGMCPMQGDERX-UHFFFAOYSA-N,-0.92
169,"1,6-dinitrophenazine",O=[N+]([O-])c1cccc2nc3c([N+](=O)[O-])cccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,XVHUXSNDANREND-UHFFFAOYSA-N,-1.11
170,,O=[N+]([O-])c1ccc2nc3cccc([N+](=O)[O-])c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,UBAQDYYJIKENDK-UHFFFAOYSA-N,-1.03
171,"1,9-dinitrophenazine",O=[N+]([O-])c1cccc2nc3cccc([N+](=O)[O-])c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,BEDXVQSNPCSGHA-UHFFFAOYSA-N,-1.14
172,,O=[N+]([O-])c1cc2nc3ccccc3nc2cc1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,ZMYPOOGYMYXXPP-UHFFFAOYSA-N,-1.1
173,"2,7-dinitrophenazine",O=[N+]([O-])c1ccc2nc3cc([N+](=O)[O-])ccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,SCOUSWSDUZEVKV-UHFFFAOYSA-N,-0.94
174,"1,2,3-trinitrophenazine",O=[N+]([O-])c1cc2nc3ccccc3nc2c([N+](=O)[O-])c1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,AQHXLGOOUGEDDH-UHFFFAOYSA-N,-0.74
175,,O=[N+]([O-])c1cc([N+](=O)[O-])c2nc3ccccc3nc2c1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,QQAOSSGRIWIWKP-UHFFFAOYSA-N,-0.56
176,,O=[N+]([O-])c1cccc2nc3c([N+](=O)[O-])ccc([N+](=O)[O-])c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,OAZNOUXWFQYKAE-UHFFFAOYSA-N,-0.75
177,,O=[N+]([O-])c1ccc2nc3c([N+](=O)[O-])ccc([N+](=O)[O-])c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,OAZNOUXWFQYKAE-UHFFFAOYSA-N,-0.7
178,,O=[N+]([O-])c1ccc2nc3cc([N+](=O)[O-])c([N+](=O)[O-])cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,POFGDWRPRNMNQW-UHFFFAOYSA-N,-0.74
179,,O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c2nc3ccccc3nc2c1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,SBGZIBONJYOXNQ-UHFFFAOYSA-N,-0.31
180,,O=[N+]([O-])c1cc([N+](=O)[O-])c2nc3c([N+](=O)[O-])cccc3nc2c1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,FGYRSKLEYRJVNE-UHFFFAOYSA-N,-0.36
181,,O=[N+]([O-])c1ccc2nc3c([N+](=O)[O-])c([N+](=O)[O-])cc([N+](=O)[O-])c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,LMSJHLGSUCCISS-UHFFFAOYSA-N,-0.29
182,,O=[N+]([O-])c1ccc2nc3c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,FNHFWTJSQMQVDM-UHFFFAOYSA-N,-0.3
183,,O=[N+]([O-])c1cc([N+](=O)[O-])c2nc3cccc([N+](=O)[O-])c3nc2c1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,QQAOSSGRIWIWKP-UHFFFAOYSA-N,-0.34
184,,O=[N+]([O-])c1ccc2nc3c([N+](=O)[O-])c([N+](=O)[O-])ccc3nc2c1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,OMVQFULVHIBQMT-UHFFFAOYSA-N,-0.35
185,,O=[N+]([O-])c1ccc([N+](=O)[O-])c2nc3c([N+](=O)[O-])ccc([N+](=O)[O-])c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,OAZNOUXWFQYKAE-UHFFFAOYSA-N,-0.52
186,,O=[N+]([O-])c1cc2nc3cc([N+](=O)[O-])c([N+](=O)[O-])cc3nc2cc1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,OMVQFULVHIBQMT-UHFFFAOYSA-N,-0.52
187,,O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c2nc3c([N+](=O)[O-])ccc([N+](=O)[O-])c3nc2c1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,AMUYBCFAEIFINH-UHFFFAOYSA-N,0.16
188,,O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c2nc3c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c3nc2c1[N+](=O)[O-],c1ccc2nc3ccccc3nc2c1,Oxidized,PTKGTZFDBHTFCS-UHFFFAOYSA-N,0.8
