ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,E0(VvsSHE),G_solv
226,,O=C1C=Cc2cc3c(cc2=C1)C=C(C(=O)O)C(=O)C=3,O=C1C=Cc2cc3c(cc2=C1)C=CC(=O)C=3,Oxidized,JIMLUZUFSDPEIG-UHFFFAOYSA-N,1.04,-48.17
227,,O=C1C=c2cccc(S)c2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,JOUJENZCQBXHDB-UHFFFAOYSA-N,1.04,-63.41
228,,COC(=O)C1=CC2=CC=CC(=O)C2=CC1=O,O=C1C=CC2=CC=CC(=O)C2=C1,Oxidized,JZVPXSICXDTHGE-UHFFFAOYSA-N,1.04,-32.13
229,"tetramethyl 3,6-dioxocyclohexa-1,4-diene-1,2,4,5-tetracarboxylate",COC(=O)C1=C(C(=O)OC)C(=O)C(C(=O)OC)=C(C(=O)OC)C1=O,O=C1C=CC(=O)C=C1,Oxidized,LZMYYVFMLBATPX-UHFFFAOYSA-N,1.04,-66.75
230,,CN(C)c1c2c(cc3ccccc13)=CC(=O)C(=O)C=2,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,PHXPXJIKLHZVPX-UHFFFAOYSA-N,1.04,-45.18
231,,Nc1ccc2cc3c(cc2c1)=CC(=O)C(=O)C=3,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,QUKWJOWOGAHZSL-UHFFFAOYSA-N,1.04,-29.71
232,,O=C1C=c2ccc(Cl)cc2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,UEFQRWODBWLEGR-UHFFFAOYSA-N,1.04,-36.84
233,,O=C1C=c2ccc(F)cc2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,VUZZGEOTSOZRPT-UHFFFAOYSA-N,1.04,-54.74
234,,COC(=O)C1=c2cc3c(cc2C=CC1=O)=CC=CC3=O,O=C1C=Cc2cc3c(cc2=C1)C(=O)C=CC=3,Oxidized,WSZKLIGJMXTEGB-UHFFFAOYSA-N,1.04,-39.52
235,,O=C1C=Cc2cc3c(cc2=C1)C=C([N+](=O)[O-])C(=O)C=3,O=C1C=Cc2cc3c(cc2=C1)C=CC(=O)C=3,Oxidized,PCEDLSYZAJRWPD-UHFFFAOYSA-N,1.05,-27.91
236,,C=CC1=c2ccccc2=CC(=O)C1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,SWOXYQADJZYFBP-UHFFFAOYSA-N,1.05,-27.24
237,,O=C1C=c2cccc([SiH3])c2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,VNBUSZCSVAAKRU-UHFFFAOYSA-N,1.05,-52.53
238,,O=C1C=c2ccc([SiH3])cc2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,ZCDMZQCFBYUFHB-UHFFFAOYSA-N,1.05,-29.14
239,,O=C1C=c2ccccc2=C([SiH3])C1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,BZFMOAZJWZWAEU-UHFFFAOYSA-N,1.06,-31.89
