ID,IUPACName,SMILES,CoreSMILES,State,InchIKey,HOMOLUMO,SFE,pred_hl,pred_sfe
1272,,O=C1C=CC2=CC(=O)C(OS(=O)O)=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,VSHMGYGUNSWLHE-UHFFFAOYSA-N,6.437,-18.28052863,6.2268677,-17.85608
1273,,O=NOC1=CC2=CC(=O)C=CC2=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,CNYUHOZMWWNOGW-UHFFFAOYSA-N,6.387,-10.43179701,6.123224,-10.480393
1274,,NC1=CC2=CC(=O)C=CC2=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,RXSHJAXNLRHTEU-UHFFFAOYSA-N,6.353,-11.12540573,5.959477,-11.371302
1275,,COC1=CC2=CC(=O)C=CC2=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,OTFBSHAEXHLHAU-UHFFFAOYSA-N,6.452,-10.50437063,6.1826434,-10.453519
1276,"6-hydroxynaphthalene-2,3-dione",O=C1C=c2ccc(O)cc2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,WTIKHEZTUVQWDE-UHFFFAOYSA-N,6.411,-9.723986988,6.2396483,-9.975627
1277,,O=C1C=CC2=CC(=O)C(S)=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,KEHJSAWWUIAHBC-UHFFFAOYSA-N,6.272,-9.601812404,6.092715,-9.711311
1278,,CC1=CC2=CC(=O)C=CC2=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,RKDVCNRIDBFBDO-UHFFFAOYSA-N,6.278,-9.23410171,6.1775274,-9.45503999999999
1279,,O=C1C=CC2=CC(=O)C(F)=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,KWIBCUDWZWKCET-UHFFFAOYSA-N,6.391,-9.0642401,6.270735,-8.966348
1280,,O=C1C=CC2=CC(=O)C(Cl)=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,YZBDXGFTPGINPW-UHFFFAOYSA-N,6.348,-9.329001185,6.241926,-9.30046499999999
1281,,CN(C)C1=CC(=O)C=C2C=CC(=O)C=C21,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,ZYKQACWDILKLEL-UHFFFAOYSA-N,5.892,-11.02350593,6.02842429999999,-10.96267
1282,,C=CC1=CC(=O)C=C2C=CC(=O)C=C12,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,CLFLHADXHNKGDO-UHFFFAOYSA-N,6.207,-9.767269263,6.16741699999999,-9.63598399999999
1283,,O=CC1=CC(=O)C=C2C=CC(=O)C=C12,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,YTQQWYZRGZONPR-UHFFFAOYSA-N,6.295,-12.21742954,6.13550759999999,-12.465946
1284,,COC(=O)C1=CC(=O)C=C2C=CC(=O)C=C21,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,VQLBZYCLMFIZJJ-UHFFFAOYSA-N,6.303,-12.76546247,6.12535899999999,-13.447821
1285,,O=C1C=CC2=CC(=O)C=C(C(F)(F)F)C2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,ZVUIHHUOATUOOV-UHFFFAOYSA-N,6.434,-8.590870932,6.15850199999999,-8.7829895
1286,,N#CC1=CC(=O)C=C2C=CC(=O)C=C12,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,BOFRCIWCLMZYFB-UHFFFAOYSA-N,6.247,-11.62262288,6.211433,-11.691355
1287,,O=C1C=CC2=CC(=O)C=C(C(O)O)C2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,VBDJCUFMVVGPIP-UHFFFAOYSA-N,6.272,-16.22644008,6.1970854,-15.8318079999999
1288,,O=C1C=C2C=CC(=O)C=C2C(OP(O)O)=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,IGFVZSPVQBMZMV-UHFFFAOYSA-N,5.928,-21.64276287,6.1238956,-20.932993
1289,,O=C1C=C2C=CC(=O)C=C2C(OS(=O)O)=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,WLIPNNUCJSMATC-UHFFFAOYSA-N,6.119,-16.56163432,6.12667,-17.082462
1290,,O=NOC1=CC(=O)C=C2C=CC(=O)C=C21,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,VYJBLZLFUIDCBK-UHFFFAOYSA-N,6.149,-10.05303044,6.0952244,-10.373939
1291,,NC1=CC(=O)C=C2C=CC(=O)C=C12,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,GSCSQUOMPVPECY-UHFFFAOYSA-N,5.816,-12.76644458,6.0236545,-12.770875
1292,,COC1=CC(=O)C=C2C=CC(=O)C=C21,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,YEYNSJHAQFHNKS-UHFFFAOYSA-N,6.098,-10.93561906,6.097566,-10.786444
1293,"4-hydroxynaphthalene-2,6-dione",O=C1C=C(O)C2=CC(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,HZSVASFPRYIATD-UHFFFAOYSA-N,6.132,-12.1744715,6.1094823,-11.515297
1294,,O=C1C=C(S)C2=CC(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,OIEDUROBWZRORJ-UHFFFAOYSA-N,6.166,-10.08860684,6.07170999999999,-9.927863
1295,,CC1=CC(=O)C=C2C=CC(=O)C=C12,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,AMGNHTPIONRZCZ-UHFFFAOYSA-N,6.201,-9.69992603,6.35117399999999,-9.664131
1296,,O=C1C=C(F)C2=CC(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,IAWHOVONGAVVGE-UHFFFAOYSA-N,6.242,-8.541775884,6.1799717,-8.437632
1297,,O=C1C=C(Cl)C2=CC(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,OQAWPNLNZXQBML-UHFFFAOYSA-N,6.25299999999999,-8.94875090299999,6.15299,-8.868394
1298,,CN(C)C1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,UXQXUHLEGNFKGQ-UHFFFAOYSA-N,6.09,-10.40727847,6.0991,-10.671744
1299,,C=CC1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,DQIVOCITHJJZMG-UHFFFAOYSA-N,6.075,-9.360178441,6.1066318,-9.41261
1300,"2,6-dioxonaphthalene-1-carbaldehyde",O=CC1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,BSGNPAXRPUCJRL-UHFFFAOYSA-N,5.903,-14.81928911,5.905122,-13.412614
1301,,COC(=O)C1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,JQVVVGQAKNXKIY-UHFFFAOYSA-N,6.036,-13.28057702,6.1962757,-13.596773
1302,,O=C1C=CC2=C(C(F)(F)F)C(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,RMOBZSSTOSGVCR-UHFFFAOYSA-N,6.034,-9.092480293,6.1590414,-9.110071
1303,"2,6-dioxonaphthalene-1-carbonitrile",N#CC1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,JTIDNXNUKKGDFO-UHFFFAOYSA-N,5.93,-12.50749834,5.882772,-12.818662
1304,,O=C1C=CC2=C(C(O)O)C(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,QINYZVHOAWUAFN-UHFFFAOYSA-N,6.042,-13.67977851,6.173442,-13.632173
1305,,O=C1C=CC2=C(OP(O)O)C(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,GGKNVZWZRDOWLZ-UHFFFAOYSA-N,5.597,-16.77551781,5.7767477,-16.597467
1306,"(2,6-dioxonaphthalen-1-yl) hydrogen sulfite",O=C1C=CC2=C(OS(=O)O)C(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,XHETXWXPYZYNKR-UHFFFAOYSA-N,5.845,-15.75659642,5.9880953,-16.0496579999999
1307,,O=NOC1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,HAWXVVWNZJJUNQ-UHFFFAOYSA-N,5.97,-11.66539732,5.982166,-10.213786
1308,,NC1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,ASSAAFOFCHDQEN-UHFFFAOYSA-N,5.645,-13.08672505,5.86593399999999,-12.492188
1309,,COC1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,XSMOLPHFFPTSLL-UHFFFAOYSA-N,5.82299999999999,-10.41614528,5.85653099999999,-10.340352
1310,"6-hydroxynaphthalene-1,2-dione",O=C1C=Cc2cc(O)ccc2C1=O,O=C1C=Cc2ccccc2C1=O,Oxidized,CQWXLWDPFSPVHK-UHFFFAOYSA-N,5.84399999999999,-10.31807717,5.694989,-10.188314
