ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Hammett_sigma,QQ.(VvsNHE),Q.Q=(VvsNHE)
163,"1-amino-8-chloroanthracene-9,10-dione",Nc1cccc2c1C(=O)c1c(Cl)cccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,JMNNJCADZZBEOW-UHFFFAOYSA-N,-0.43,-0.625,-1.259
164,"1-amino-2-methylanthracene-9,10-dione",Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,ZLCUIOWQYBYEBG-UHFFFAOYSA-N,-0.83,-0.731,
165,"1-amino-5-methoxyanthracene-9,10-dione",COc1cccc2c1C(=O)c1cccc(N)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,XIIKBXBGOHXWMO-UHFFFAOYSA-N,-0.93,-0.743,-1.243
166,"1-amino-4-(methylamino)anthracene-9,10-dione",CNc1ccc(N)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,ICVRBKCRXNVOJC-UHFFFAOYSA-N,-1.5,-0.83,-1.318
167,"1-amino-9,10-dioxoanthracene-2-sulfonic acid",Nc1c(S(=O)(=O)O)ccc2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,PZSHANOBYYVNEX-UHFFFAOYSA-N,,-0.247,-0.681
168,"1-amino-6,7-dichloroanthracene-9,10-dione",Nc1cccc2c1C(=O)c1cc(Cl)c(Cl)cc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,YFEHGCGWUWOAFA-UHFFFAOYSA-N,-0.2,-0.532,-1.144
169,"1-amino-2,4-dibromoanthracene-9,10-dione",Nc1c(Br)cc(Br)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,ZINRVIQBCHAZMM-UHFFFAOYSA-N,-0.2,-0.514,
170,"2-amino-3-bromo-1-chloroanthracene-9,10-dione",Nc1c(Br)cc2c(c1Cl)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,HVYZVBOJHSFHEG-UHFFFAOYSA-N,-0.2,-0.629,-1.307
171,"2-amino-1-bromo-3-chloroanthracene-9,10-dione",Nc1c(Cl)cc2c(c1Br)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,ZFWJIKSKKWACEX-UHFFFAOYSA-N,-0.2,-0.632,-1.278
172,"1-amino-4-chloro-2-methylanthracene-9,10-dione",Cc1cc(Cl)c2c(c1N)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,XHWWVXZEALFXQA-UHFFFAOYSA-N,-0.6,-0.69,-1.289
173,"1-amino-4-bromo-9,10-dioxoanthracene-2-sulfonic acid",Nc1c(S(=O)(=O)O)cc(Br)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,QZZSAWGVHXXMID-UHFFFAOYSA-N,,-0.595,-1.246
174,"1,2-diaminoanthracene-9,10-dione",Nc1ccc2c(c1N)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,LRMDXTVKVHKWEK-UHFFFAOYSA-N,-1.32,-0.916,-1.431
175,"1,4-diaminoanthracene-9,10-dione",Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,FBMQNRKSAWNXBT-UHFFFAOYSA-N,-1.32,-0.872,-1.365
176,"1,5-diaminoanthracene-9,10-dione",Nc1cccc2c1C(=O)c1cccc(N)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,VWBVCOPVKXNMMZ-UHFFFAOYSA-N,-1.32,-0.791,-1.378
177,"2,6-diaminoanthracene-9,10-dione",Nc1ccc2c(c1)C(=O)c1ccc(N)cc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,WQOWBWVMZPPPGX-UHFFFAOYSA-N,-1.32,-0.979,
178,"1,4,5,8-tetraaminoanthracene-9,10-dione",Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,JSFUMBWFPQSADC-UHFFFAOYSA-N,-2.64,-1.081,-1.467
179,"1-(methylamino)anthracene-9,10-dione",CNc1cccc2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,SVTDYSXXLJYUTM-UHFFFAOYSA-N,-0.84,-0.659,-1.28
180,"1-(2-hydroxyethylamino)-4-(methylamino)anthracene-9,10-dione",CNc1ccc(NCCO)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,NLXFWUZKOOWWFD-UHFFFAOYSA-N,,-0.769,
181,"1,4-bis(methylamino)anthracene-9,10-dione",CNc1ccc(NC)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,QOSTVEDABRQTSU-UHFFFAOYSA-N,-1.68,-0.77,
182,"1,4-bis(propan-2-ylamino)anthracene-9,10-dione",CC(C)Nc1ccc(NC(C)C)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,BLFZMXOCPASACY-UHFFFAOYSA-N,,-0.8,-1.378
183,"1-nitroanthracene-9,10-dione",O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,YCANAXVBJKNANM-UHFFFAOYSA-N,0.78,-0.341,
184,"2-methyl-1-nitroanthracene-9,10-dione",Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,FYXKXZFTZBYYNP-UHFFFAOYSA-N,0.61,-0.375,
185,"1,4-diamino-5-nitroanthracene-9,10-dione",Nc1ccc(N)c2c1C(=O)c1cccc([N+](=O)[O-])c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,SDICTISQCKLMEB-UHFFFAOYSA-N,-0.54,-0.689,
186,"1-hydroxyanthracene-9,10-dione",O=C1c2ccccc2C(=O)c2c(O)cccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,BTLXPCBPYBNQNR-UHFFFAOYSA-N,-0.37,-0.392,-1.008
187,"2-hydroxyanthracene-9,10-dione",O=C1c2ccccc2C(=O)c2cc(O)ccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,GCDBEYOJCZLKMC-UHFFFAOYSA-N,-0.37,-0.574,-1.076
188,"1-hydroxy-4-methoxyanthracene-9,10-dione",COc1ccc(O)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,LXLSOGUOWDOXMC-UHFFFAOYSA-N,-0.64,-0.48,
189,"(4-hydroxy-9,10-dioxoanthracen-1-yl) acetate",CC(=O)Oc1ccc(O)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,WTODJCNVSBJCJT-UHFFFAOYSA-N,-0.06,-0.366,-0.974
190,"1-amino-4-hydroxyanthracene-9,10-dione",Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,AQXYVFBSOOBBQV-UHFFFAOYSA-N,-1.03,-0.605,-1.18
191,"1-hydroxy-4-(4-methylanilino)anthracene-9,10-dione",Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,LJFWQNJLLOFIJK-UHFFFAOYSA-N,,-0.439,-0.995
192,"1-amino-2-bromo-4-hydroxyanthracene-9,10-dione",Nc1c(Br)cc(O)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,MSSQDESMUMSQEN-UHFFFAOYSA-N,-0.8,-0.442,-1.004
193,"1,2-dihydroxyanthracene-9,10-dione",O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,RGCKGOZRHPZPFP-UHFFFAOYSA-N,-0.74,-0.443,-1.031
194,"1,4-dihydroxyanthracene-9,10-dione",O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,GUEIZVNYDFNHJU-UHFFFAOYSA-N,-0.74,-0.318,-0.948
195,"1,5-dihydroxyanthracene-9,10-dione",O=C1c2cccc(O)c2C(=O)c2cccc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,JPICKYUTICNNNJ-UHFFFAOYSA-N,-0.74,-0.252,-0.749
196,"1,8-dihydroxyanthracene-9,10-dione",O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,QBPFLULOKWLNNW-UHFFFAOYSA-N,-0.74,-0.281,-0.966
197,"2,6-dihydroxyanthracene-9,10-dione",O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,APAJFZPFBHMFQR-UHFFFAOYSA-N,-0.74,-0.639,
198,"2,7-dihydroxyanthracene-9,10-dione",O=C1c2ccc(O)cc2C(=O)c2cc(O)ccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,RZTIWMXQXBQJNE-UHFFFAOYSA-N,-0.74,-0.622,
